0.713, -0.345, -9.441
-0.245, 1.684, 2.795
1.388, -0.395, -6.032
1.556, -1.351, 1.558
-1.162, -0.213, 2.496
0.551, -1.755, -8.257
-1.324, 0.378, -2.987
0.583, 1.945, 12.939
0.555, -0.699, -0.956
-1.677, -1.557, 3.030
-0.380, 1.441, -1.551
1.791, 0.989, 18.404
0.720, -0.448, -1.035
-1.806, -1.740, 4.014
-1.032, -0.812, -0.965
0.807, 0.350, 7.762
0.640, -0.481, -4.853
1.351, -1.184, -3.581
1.946, -1.621, 2.995
-0.966, -0.359, 3.050
1.968, 1.117, 16.821
-1.333, -1.572, -1.944
-0.459, -0.212, 1.010
-0.428, -1.572, 2.350
-0.794, -0.130, 0.026
-0.767, 1.454, 3.114
-1.282, 0.355, 2.638
-1.694, -1.632, -0.658
-0.710, 0.689, 2.081
0.625, 1.778, 9.203
-1.985, 0.322, -4.874
0.165, -1.979, -10.028
1.406, 0.115, 1.929
-0.372, -0.734, -0.679
-1.228, 1.519, 6.544
-1.545, 1.438, -0.634
-1.124, -0.721, 2.767
-0.940, -0.472, 3.329
0.554, 0.862, 1.113
0.783, 1.984, 18.295
1.136, -0.351, -0.458
1.154, -1.928, -7.285
-1.237, -1.575, 5.447
-0.432, -1.908, -2.758
0.903, 0.910, 4.909
1.453, 1.722, 18.690
-0.388, 1.373, 5.704
-0.947, 0.836, -5.218
0.540, 0.076, -2.007
-1.814, -1.563, -0.014
-1.422, 0.534, -4.075
0.681, 1.042, 1.780
1.407, -0.638, 3.534
1.870, -1.490, 2.103
1.092, -1.367, -6.151
-1.756, 0.403, -8.376
-0.547, -1.279, 2.728
-1.487, 1.655, 3.639
1.235, -1.470, -4.373
1.820, 1.750, 22.528
-1.899, -0.268, -5.061
-1.848, -0.241, -4.599
-1.604, 0.299, -0.949
1.914, -1.427, 7.304
-1.851, -0.515, -0.139
1.203, -1.763, -4.112
0.875, -0.954, 2.147
-0.151, -0.094, -2.105
1.994, -0.618, 6.706
-1.290, 0.187, -6.244
1.900, 0.780, 14.142
-1.877, -0.443, -2.057
-0.086, -1.219, 2.159
0.085, 0.585, 2.876
-0.305, -1.600, -5.817
-0.727, 1.229, -1.186
-0.850, -1.735, -2.001
1.945, 1.740, 27.159
1.313, -0.039, 10.577
-0.210, -1.919, -7.279
-0.224, -0.522, -0.498
1.298, 0.360, 6.372
0.089, -0.476, 2.095
-0.750, 1.985, 6.249
-0.293, -0.138, -0.274
-1.236, 0.759, -2.983
1.037, 0.762, 0.946
0.178, 0.175, -4.067
1.081, -1.249, 1.221
-1.185, -0.193, 2.815
-1.547, 1.423, -5.998
-0.491, 0.599, 1.092
1.570, -1.709, -2.653
1.731, 0.171, 4.199
1.081, -0.014, -3.100
0.378, 1.204, 2.170
-1.481, -0.132, -4.116
0.151, -1.426, -3.540
-0.821, -1.057, 0.176
1.464, -1.022, -1.410
-1.078, -0.337, 0.169
-0.111, 0.074, -0.287
-1.414, -1.023, -0.285
0.954, 0.455, 0.419
-0.434, -1.543, 0.904
