0.57, -0.08, 0.27, 0
-0.60, -0.77, 0.68, 2
-0.57, 0.94, 0.67, 1
0.92, -0.06, 0.32, 0
-0.14, -0.76, -0.11, 2
0.25, -0.00, 0.89, 1
0.37, -0.99, -0.38, 2
0.59, 0.16, 0.23, 0
0.93, 0.68, -0.27, 3
-0.20, 0.78, 0.78, 1
0.31, -0.14, 0.74, 1
0.41, -0.13, 0.57, 1
-0.79, 0.19, 0.82, 1
0.71, 0.31, -0.89, 3
-0.89, 0.53, 0.65, 1
-0.21, -0.24, 0.84, 1
-0.80, 0.79, 0.41, 1
-0.46, -0.10, -0.40, 0
-0.08, 0.54, 0.18, 1
0.99, 0.96, 0.25, 1
-0.72, 0.99, 0.40, 1
-0.59, 0.56, -0.38, 3
0.95, -0.27, -1.00, 3
-0.02, -0.66, -0.79, 3
0.69, 0.57, 0.17, 1
-0.23, -0.68, -0.97, 3
0.70, 0.09, -0.15, 0
-0.96, 1.00, -0.05, 3
0.70, -0.78, -0.28, 2
-0.49, 0.93, -0.50, 3
0.89, 0.91, 0.62, 1
-0.95, -0.81, -0.29, 2
0.13, 0.83, -0.31, 3
-0.90, -0.91, -0.44, 2
0.26, 0.35, -0.96, 3
0.64, -0.06, -0.89, 3
-0.66, -0.58, 0.66, 1
0.25, 0.74, 0.49, 1
-0.86, -0.87, 0.34, 2
0.37, -1.00, 0.29, 2
0.75, -0.27, 0.32, 0
-0.98, -0.36, -0.91, 3
0.49, 0.04, 0.61, 1
-0.51, 0.10, -0.23, 0
-0.69, -0.72, 0.77, 1
-0.49, 0.59, -0.28, 3
0.40, -0.04, -0.67, 3
-1.00, 0.54, 0.39, 1
-0.31, 0.31, 0.89, 1
0.16, 0.59, 0.24, 1
0.47, -0.46, -0.79, 3
0.47, -0.09, -0.17, 0
0.92, 0.80, -0.48, 3
-0.88, -0.84, 0.61, 2
-0.03, 0.19, -0.38, 0
0.03, -0.66, 0.31, 2
0.87, 0.41, -0.91, 3
0.51, 0.47, -0.91, 3
-0.83, 0.38, -0.60, 3
-0.40, -0.15, 0.07, 0
-0.52, 0.15, 0.81, 1
0.24, -0.32, 0.06, 0
0.43, -0.68, -0.06, 2
-0.83, -0.71, 0.25, 2
-0.82, 0.63, -0.37, 3
-0.92, 0.25, 0.55, 1
0.13, 0.77, 0.94, 1
0.96, -0.69, -0.57, 2
0.12, -0.76, 0.35, 2
-0.71, -0.68, -0.80, 3
-0.18, -0.37, -0.76, 3
-0.62, -0.72, 0.39, 2
-1.00, 0.41, 0.79, 1
-0.07, 0.88, -0.76, 3
0.12, -0.17, 0.07, 0
-0.89, -0.38, -0.13, 0
-0.84, -0.09, -0.66, 3
0.79, -0.07, -0.31, 0
-0.21, -0.15, 0.30, 0
0.15, -0.96, 0.08, 2
-0.09, -0.06, 0.60, 1
0.69, 0.64, -0.71, 3
0.60, -0.48, 0.60, 1
-0.41, 0.11, 0.63, 1
-0.55, 1.00, -0.16, 3
0.54, 0.05, 0.13, 0
0.86, 0.77, 0.32, 1
0.81, 0.08, 0.83, 1
-0.55, -0.34, 0.67, 1
-0.66, 0.71, -0.70, 3
0.88, -0.41, 0.08, 0
0.83, -0.31, 0.91, 1
-0.48, -0.25, 0.96, 1
-0.20, -0.77, -0.22, 2
0.21, -0.09, -0.66, 3
0.68, -0.42, -0.70, 3
-0.24, -0.91, -0.53, 2
-0.47, 0.14, -0.42, 0
0.04, -0.33, -0.21, 0
-0.79, 0.36, -0.26, 0
-0.74, 0.11, -0.38, 0
0.59, 0.92, 0.15, 1
0.64, -0.65, -0.72, 3
0.67, 0.87, 0.72, 1
0.92, 0.29, -0.15, 0
-0.60, 0.04, 0.30, 0
0.44, -0.08, -0.22, 0
-0.74, 0.84, -0.74, 3
0.46, 0.12, -0.29, 0
0.73, 0.71, -0.52, 3
0.46, -0.86, 0.92, 1
0.61, -0.58, 0.95, 1
0.79, 0.39, 0.69, 1
-0.52, -0.79, 0.66, 2
0.07, -0.81, -0.05, 2
0.72, 0.68, -0.75, 3
-0.44, 0.72, 0.99, 1
0.91, 0.56, 0.21, 1
0.56, -0.53, 0.26, 2
-0.97, 0.37, -0.77, 3
-0.16, -0.91, 0.41, 2
0.81, -0.70, -0.58, 2
-0.30, 0.72, 0.71, 1
0.54, 0.45, 0.91, 1
0.16, 0.78, 0.35, 1
-0.58, -0.28, -0.55, 3
0.26, 0.09, 0.30, 0
0.29, -0.87, 0.26, 2
-0.15, -0.88, 0.06, 2
-0.19, 0.52, 0.81, 1
0.03, 0.59, -0.72, 3
-0.22, -0.38, -0.54, 3
0.57, -0.93, -0.38, 2
0.21, 0.49, -0.76, 3
-0.46, -0.07, -0.33, 0
0.41, -0.71, 0.34, 2
-1.00, -0.92, -0.30, 2
-0.51, 0.17, 0.55, 1
0.05, -0.80, -0.09, 2
0.77, -0.70, -0.87, 3
-0.44, 0.00, -0.92, 3
0.96, -0.92, 0.15, 2
0.10, -0.15, 0.61, 1
0.84, -0.34, -0.48, 3
-0.69, 0.95, 0.84, 1
-0.20, 0.65, -0.23, 3
0.00, 0.21, 0.26, 0
-0.60, 0.83, 0.93, 1
0.23, -0.19, -0.96, 3
-0.24, 0.73, -0.84, 3
0.39, -0.46, 0.54, 1
0.64, -0.71, -0.30, 2
-0.31, -0.21, -0.30, 0
0.83, -0.61, 0.93, 1
0.36, -0.69, 0.39, 2
0.16, -0.13, 0.72, 1
-0.99, 0.92, -0.91, 3
-0.03, 0.53, 0.79, 1
0.45, -0.95, -0.35, 2
0.20, -0.42, 0.84, 1
0.25, 0.26, -0.57, 3
0.46, -0.41, -0.81, 3
-0.91, -0.03, 0.22, 0
0.67, -0.15, 0.57, 1
0.62, 0.89, -0.58, 3
0.51, -1.00, 0.41, 2
-0.80, 0.93, -0.85, 3
0.54, 0.89, 0.15, 1
-0.55, -0.31, -0.81, 3
0.78, 0.73, -0.49, 3
-0.84, 0.88, 0.40, 1
0.64, -0.24, 0.95, 1
-0.18, -0.81, 1.00, 1
-0.50, -0.36, 0.64, 1
-0.54, 0.53, 0.85, 1
0.17, -0.86, -0.30, 2
-0.63, 0.42, 0.36, 1
-0.28, -0.59, 0.88, 1
0.56, 0.21, 0.11, 0
-0.13, -0.80, 0.72, 2
0.31, -0.51, 0.58, 1
0.63, -0.70, 0.12, 2
1.00, -0.64, -0.24, 2
0.94, 0.71, -0.67, 3
0.75, -0.04, -0.97, 3
-0.02, -0.86, -0.26, 2
-0.51, 0.97, -0.27, 3
-0.93, 0.11, 0.16, 0
-0.10, -0.53, 0.34, 2
-0.12, -0.90, 0.74, 2
-0.36, -0.96, -0.77, 2
-0.85, 0.87, 0.41, 1
0.45, 0.61, 0.07, 1
0.07, -0.16, 0.06, 0
-0.06, 0.10, -0.54, 3
-0.20, -0.53, 0.92, 1
-0.73, 0.83, 0.37, 1
0.10, 0.87, 0.49, 1
-0.57, -0.88, -0.39, 2
0.88, -0.66, -0.24, 2
-0.47, -0.58, 0.64, 1
-0.46, 0.78, 0.35, 1
0.66, 0.32, 0.85, 1
0.23, 0.81, 0.24, 1
-0.67, -0.39, 0.64, 1
0.07, -0.87, -0.32, 2
-0.99, -0.82, -0.95, 3
0.80, 0.40, 0.79, 1
0.68, -0.70, -0.21, 2
-0.39, -0.29, 0.67, 1
-0.17, -0.90, -0.18, 2
-0.49, -0.52, -0.81, 3
-0.94, 0.14, 0.99, 1
0.88, -0.12, -0.60, 3
-0.66, 0.42, -0.96, 3
-0.97, 0.43, 0.38, 1
-0.73, 0.41, -0.06, 0
-0.20, 0.00, 0.22, 0
-0.60, 0.50, -0.37, 3
0.72, 0.67, -0.09, 3
-0.98, 0.59, -0.38, 3
-0.73, -0.74, -0.59, 2
-0.14, 0.75, -0.90, 3
-0.73, 0.60, 0.81, 1
0.18, 0.02, -0.19, 0
0.64, -0.12, -0.79, 3
-0.70, -0.51, -0.28, 2
0.04, 0.51, -0.87, 3
-0.95, 0.42, -0.66, 3
-0.25, 0.23, 0.10, 0
-0.19, -0.89, 0.53, 2
0.21, -0.86, 0.50, 2
0.11, 0.52, 0.43, 1
0.36, -0.45, -0.54, 3
0.71, -0.64, 0.96, 1
-0.01, -0.33, 0.93, 1
-0.34, 0.75, -0.68, 3
0.09, 0.04, 0.72, 1
0.91, -0.19, 0.83, 1
-0.63, -0.26, -0.94, 3
-0.13, 0.74, 0.74, 1
0.72, -0.57, 0.65, 1
-0.71, -0.33, -0.54, 3
-0.04, -0.87, -0.62, 2
-0.27, 0.58, -0.64, 3
0.17, 0.77, 1.00, 1
-0.84, 0.39, -0.07, 0
0.43, 0.89, -0.16, 3
-0.46, 0.18, -0.54, 3
0.83, 0.26, 0.07, 0
-0.00, 0.41, 0.98, 1
0.50, 0.61, 0.35, 1
0.26, 0.53, -0.25, 3
0.33, -0.04, 0.67, 1
-0.43, 0.99, -0.58, 3
-0.84, -0.27, -0.16, 0
-0.77, 0.68, 0.61, 1
-0.04, -0.20, -0.25, 0
0.44, 0.99, -0.38, 3
0.92, -0.66, 0.91, 1
-0.41, -0.32, -0.66, 3
-0.41, 0.26, 0.66, 1
-0.98, -0.35, 0.56, 1
-0.98, -0.52, 0.91, 1
0.15, -0.03, 0.76, 1
-0.44, -0.14, -0.89, 3
0.03, -0.92, 0.19, 2
-0.20, -0.28, 0.69, 1
0.14, 0.70, -0.75, 3
-0.36, 0.18, 0.73, 1
0.13, 0.56, -0.64, 3
0.08, 0.67, 0.30, 1
-0.53, -0.42, -0.71, 3
-0.97, -0.00, -0.64, 3
0.92, -0.34, 0.84, 1
0.18, 0.75, -0.72, 3
0.34, 0.49, -0.88, 3
-0.51, 0.63, 0.48, 1
0.31, -0.36, -0.51, 3
0.37, -0.23, -0.70, 3
0.53, -0.50, 0.78, 1
-0.61, -0.94, -0.44, 2
-0.46, 0.85, -0.08, 3
0.02, 0.25, 0.99, 1
-0.26, 0.42, 1.00, 1
0.66, 0.98, 0.37, 1
-0.93, 0.09, -0.80, 3
-0.04, -0.30, 1.00, 1
-0.64, 0.60, 0.88, 1
-0.68, 0.61, -0.26, 3
0.19, 0.75, 0.49, 1
0.94, -0.44, 0.86, 1
0.18, 0.29, -0.62, 3
-0.63, -0.69, 0.96, 1
0.79, -0.82, 0.31, 2
0.71, -0.76, 0.54, 2
-0.09, 0.56, 0.56, 1
-0.77, -0.19, 0.67, 1
-0.39, -0.03, -0.73, 3
0.84, 0.96, 0.26, 1
